YEAR,DATE,,EVENT,TYPE,OPP,VENUE,CITY,COUNTRY,NZ.SCORE,OPP.SCORE,COACH,CAPTAIN
2018,Oct 18,,Constellation Cup,,AUS,TSB Arena,Wellington,NZL,47,58,D. Taurua,L. Langman
2018,Oct 14,,Constellation Cup,,AUS,Claudelands Arena,Hamilton,NZL,55,44,D. Taurua,L. Langman
2018,Oct 10,,Constellation Cup,,AUS,Townsville Entertainment & Convention Centre,Townsville,AUS,47,56,D. Taurua,L. Langman
2018,Oct 7,,Constellation Cup,,AUS,Brisbane Entertainment Centre,Brisbane,AUS,42,57,D. Taurua,L. Langman
2018,Sep 23,,Netball Quad Series,,AUS,Hisense Arena,Melbourne,AUS,55,60,D. Taurua,L. Langman
2018,Sep 18,,Netball Quad Series,,RSA,ASB Bay Park,Tauranga,NZL,61,37,D. Taurua,L. Langman
2018,Sep 15,,Netball Quad Series,,ENG,Spark Arena,Auckland,NZL,39,52,D. Taurua,L. Langman
2018,Apr 15,,Commonwealth Games,,JAM,Coomera Indoor Sports Centre,Gold Coast,AUS,55,60,J. Southby,K. Rore
2018,Apr 14,,Commonwealth Games,,AUS,Coomera Indoor Sports Centre,Gold Coast,AUS,44,65,J. Southby,K. Rore
2018,Apr 11,,Commonwealth Games,,ENG,Gold Coast Convention and Exhibition Centre,Gold Coast,AUS,45,54,J. Southby,K. Rore
2018,Apr 9,,Commonwealth Games,,SCO,Gold Coast Convention and Exhibition Centre,Gold Coast,AUS,60,29,J. Southby,K. Rore
2018,Apr 8,,Commonwealth Games,,MAW,Gold Coast Convention and Exhibition Centre,Gold Coast,AUS,53,57,J. Southby,K. Rore
2018,Apr 6,,Commonwealth Games,,WAL,Gold Coast Convention and Exhibition Centre,Gold Coast,AUS,70,44,J. Southby,K. Rore
2018,Apr 5,,Commonwealth Games,,UGA,Gold Coast Convention and Exhibition Centre,Gold Coast,AUS,64,51,J. Southby,K. Rore
2018,Mar 24,,Taini Jamison Trophy,,JAM,North Shore Events Centre,Auckland,NZL,53,59,J. Southby,K. Rore
2018,Mar 23,,Taini Jamison Trophy,,FIJ,North Shore Events Centre,Auckland,NZL,88,27,J. Southby,K. Rore
2018,Mar 22,,Taini Jamison Trophy,,JAM,North Shore Events Centre,Auckland,NZL,51,59,J. Southby,K. Rore
2018,Mar 21,,Taini Jamison Trophy,,MAW,North Shore Events Centre,Auckland,NZL,75,42,J. Southby,K. Rore
2018,Jan 28,,Netball Quad Series,,AUS,Ellispark Arena,Johannesburg,RSA,48,67,J. Southby,K. Rore
2018,Jan 25,,Netball Quad Series,,RSA,Ellispark Arena,Johannesburg,RSA,51,46,J. Southby,K. Rore
2018,Jan 20,,Netball Quad Series,,ENG,Copper Box Arena,London,ENG,57,64,J. Southby,K. Rore
2017,Oct 14,,Constellation Cup,,AUS,Qudos Bank Arena,Sydney,AUS,42,58,J. Southby,K. Rore
2017,Oct 11,,Constellation Cup,,AUS,Titanium Security Arena,Adelaide,AUS,43,55,J. Southby,K. Rore
2017,Oct 8,,Constellation Cup,,AUS,Horncastle Arena,Christchurch,NZL,52,60,J. Southby,K. Rore
2017,Oct 5,,Constellation Cup,,AUS,Spark Arena,Auckland,NZL,54,57,J. Southby,K. Rore
2017,Sep 13,,Taini Jamison Trophy,,ENG,Claudelands Arena,Hamilton,NZL,62,55,J. Southby,K. Rore
2017,Sep 10,,Taini Jamison Trophy,,ENG,Pettigrew Green Arena,Napier,NZL,46,49,J. Southby,K. Rore
2017,Sep 7,,Taini Jamison Trophy,,ENG,Te Rauparaha Arena,Porirua,NZL,62,55,J. Southby,K. Rore
2017,Sep 3,,Netball Quad Series,,AUS,ILT Stadium Southland,Invercargill,NZL,57,47,J. Southby,K. Rore
2017,Aug 30,,Netball Quad Series,,ENG,The Trusts Arena,Auckland,NZL,45,49,J. Southby,K. Rore
2017,Aug 26,,Netball Quad Series,,RSA,Brisbane Entertainment Centre,Brisbane,AUS,63,56,J. Southby,K. Rore
